Gene,PD_001,PD_002,PD_003,PD_004,PD_005,PD_006,PD_007,PD_008,PD_009,PD_010,PD_011,PD_012,PD_013,PD_014,PD_015,PD_016,PD_017,PD_018,PD_019,PD_020,PD_021,PD_022,PD_023,PD_024,PD_025,PD_026,PD_027,PD_028,PD_029,PD_030
CEACAM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CEACAM19,0,59,0,0,654,0,0,0,243,0,0,804,0,0,0,0,0,23,139,349,1078,0,210,0,0,0,0,0,0,236
CEACAM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM21,0,18,104,0,4,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,43
CEACAM22P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM3,161,5896,4382,0,2576,383,0,0,1061,1,4424,2065,2960,0,0,843,2165,5512,2972,1872,3201,0,1497,209,210,2022,0,5519,1663,8106
CEACAM4,15,21,68,0,0,0,0,0,0,0,0,7,39,0,0,0,0,39,17,6,0,0,0,0,0,0,0,59,0,80
CEACAM5,0,33,0,0,0,0,0,0,277,0,0,25,352,0,0,19,28,57,26,113,0,0,91,354,91,0,0,508,0,0
CEACAM6,2,1038,5,2037,0,0,0,0,2720,0,3622,3246,13279,0,0,905,1409,136,776,914,0,0,511,637,0,0,0,6921,0,0
CEACAM7,0,14,0,167,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,66,0,0,0,0,0,0,0,139,0,0
CEACAM8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0,45,0,29,36,0,0,0,0,0,0,62,0,0
CEBPA,2044,662,543,0,1046,531,583,0,1110,0,0,1794,319,639,4028,512,641,71,1009,951,378,1244,1389,366,567,596,1903,143,474,237
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
CEBPD,2,3,0,0,0,0,0,0,0,5,3,0,7,0,0,12,5,6,1,3,5,5,5,8,6,6,2,5,0,48
CEBPE,0,0,0,0,0,0,0,0,29,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CEBPZ,8,13,0,0,24,2,0,0,8,407,0,21,0,0,0,55,0,57,26,69,2,81,0,194,0,0,0,20,523,59
CECR1,303,13,89,0,21,0,1,150,125,0,717,90,0,0,0,0,7,115,60,351,147,1292,215,213,456,239,0,114,354,238
CECR2,174,47,0,0,528,661,0,0,422,1103,0,30,835,0,506,173,404,24,247,578,1022,0,356,1184,2268,225,1057,529,0,59
CECR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CECR5,0,93,174,0,232,0,0,0,197,0,0,88,0,0,0,0,0,86,357,37,0,232,825,244,0,0,0,0,0,343
CECR6,127,117,205,0,82,223,0,0,18,0,896,33,1,419,0,0,0,128,60,82,76,0,137,238,202,236,0,203,0,126
CECR7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL,0,0,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,23,0,0
CELA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELA2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
CELA2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELA3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELF1,0,0,0,0,112,0,0,0,45,0,0,80,0,0,370,0,0,5,85,84,0,0,229,0,0,0,0,0,0,65
CELF2,0,26,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,69,171,0,63,0,0,0,0,0,0,0
CELF3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
CELF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,90,33
CELF6,0,22,0,0,0,0,0,0,0,0,0,26,0,0,0,0,311,86,97,0,569,0,0,0,0,0,0,113,0,0
CELP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELSR1,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,14,34,0,0,0,0,0,0,0,0,0,0,191
CELSR2,0,80,0,0,0,0,0,0,0,0,0,263,0,29,0,0,0,0,79,0,433,0,0,0,25,0,0,0,0,0
CELSR3,54,0,0,0,0,170,0,0,0,110,0,0,0,0,0,0,0,15,24,0,0,0,0,0,0,0,0,0,0,0
CEMP1,70,18,50,14,26,0,0,0,1,206,155,47,0,0,0,0,53,161,21,45,106,90,60,0,0,0,114,55,127,55
CEND1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPB,214,45,0,0,17,0,0,0,528,0,0,178,221,463,200,92,458,80,191,136,155,107,159,0,366,0,265,36,243,121
CENPC1,0,0,0,0,0,0,0,0,14,0,0,20,0,0,0,0,122,54,54,12,0,39,114,261,0,0,0,0,0,14
CENPE,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,5,0,6,0
CENPF,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,47,3,0,0,0,0,47,0,0,0,0,0,0,0
CENPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,4,0,0,0,8,0,0,0,0,0,0,0
CENPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,95,0,325,0,0,0,0,0
CENPL,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,1,0,0,0,0,202,0,1,0,0,0
CENPM,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CENPN,13,9,59,0,32,0,0,0,10,0,0,21,0,0,0,0,0,1,17,29,99,0,0,0,0,0,0,0,0,0
CENPO,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,131,0,248,0,0,0,0,0,0
CENPP,0,0,0,0,187,0,0,0,0,0,0,25,0,0,0,0,0,0,90,0,0,254,0,0,0,0,0,0,0,0
CENPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CENPT,0,58,0,0,0,0,2,0,139,0,0,35,0,373,0,326,53,11,958,103,0,196,272,159,0,256,0,370,0,40
CENPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0
CENPW,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,1,9,3,0,11,0,0,0,0,0,0,0
CEP104,379,271,0,0,90,0,0,0,35,0,0,128,0,0,0,97,0,98,170,444,0,489,0,209,0,0,0,0,0,0
CEP112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
CEP120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,1,1,0,0,0,0,2,0,4
CEP128,381,0,0,0,190,0,0,0,0,0,0,67,0,0,0,0,0,157,111,318,0,720,293,0,0,0,0,51,0,0
CEP135,0,70,0,0,0,0,0,0,166,0,0,112,0,0,0,0,34,50,59,0,0,0,0,0,0,0,0,0,0,327
CEP152,0,0,0,0,0,0,0,0,0,0,0,174,2,0,0,106,0,8,16,26,0,0,0,0,0,0,0,0,0,0
CEP164,225,35,0,0,0,0,0,0,25,0,0,21,0,0,0,54,0,55,87,27,31,0,71,93,417,0,0,0,2,170
CEP170,375,102,230,251,0,0,0,0,419,0,519,156,83,267,10,156,0,187,279,389,515,1308,133,172,24,8,0,182,672,303
CEP170P1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CEP19,0,10,16,0,1,0,0,0,1,0,0,2,0,0,0,43,0,28,10,19,0,29,0,0,0,0,0,0,0,34
CEP192,0,0,0,0,0,0,0,0,0,0,914,56,0,0,0,0,324,27,12,15,0,297,0,0,0,219,247,68,216,165
CEP250,0,4,13,0,31,0,0,0,15,0,0,16,0,0,0,0,0,26,13,0,0,73,0,0,16,0,0,7,0,6
CEP290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,0,6,0,0
CEP350,1381,481,291,0,384,0,0,0,97,0,924,749,0,0,1,434,0,395,450,144,944,640,536,1569,0,1205,0,512,1914,748
CEP41,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,36,0,0,0,0,0,0,0,0,0,0
CEP44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,57,0,0,0,86,0,0,0,0,0,0,108
CEP55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP57,0,10,0,0,56,0,0,0,0,0,0,52,0,0,0,0,320,78,31,164,0,53,0,529,0,0,0,0,0,98
CEP57L1,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,304,20,0,0,0,0,1063,0,49,49,26,289,433,0
CEP63,0,308,212,0,777,0,0,0,0,0,0,142,0,0,0,0,88,177,39,0,0,0,0,0,0,0,4326,457,0,246
CEP68,96,0,0,0,300,0,0,0,506,0,0,54,0,0,0,0,0,43,93,29,215,342,115,0,0,0,0,0,0,135
CEP70,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CEP72,0,26,0,0,195,0,0,0,80,0,0,12,0,0,0,276,419,21,1791,343,0,131,4394,0,0,0,0,0,0,0
CEP76,41,273,0,0,250,1293,0,0,1491,0,0,0,0,0,0,215,710,102,451,963,606,0,751,1312,0,747,1182,344,0,0
CEP78,0,38,0,0,0,0,0,0,46,0,0,3,0,0,0,0,90,12,44,262,0,0,0,325,0,0,0,0,0,0
CEP85,0,83,0,0,0,0,0,0,0,0,1104,409,0,0,0,0,0,924,28,16,0,556,0,0,0,237,0,0,0,0
CEP85L,0,7,0,0,0,0,0,0,96,0,0,9,1,0,0,178,0,32,28,34,0,73,0,0,0,105,0,0,0,0
CEP89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP95,6,0,0,0,0,0,0,0,0,0,1,0,59,0,0,0,0,3,1,0,0,7,0,3,0,0,0,10,18,0
CEP97,1,28,0,0,290,0,0,0,0,0,0,43,0,0,0,0,0,77,172,213,0,0,415,0,0,0,0,386,0,233
CEPT1,0,2,0,0,4,0,0,0,24,0,0,16,0,0,0,0,0,27,15,37,44,122,0,0,0,211,0,45,0,0
CER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
CERCAM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERK,897,4465,4824,0,3866,4456,0,0,6581,4205,4010,2467,483,783,8571,3561,12550,3720,4304,8179,4070,2500,14320,5689,8510,9971,11660,4107,7700,5312
CERKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERS1,0,10,0,0,0,0,1,199,7,0,11,3,0,0,63,0,38,0,3,5,0,0,0,0,24,20,0,0,0,2
CERS2,864,1158,197,0,562,57,0,0,329,1859,0,1039,1316,0,0,40,0,1092,1102,1714,193,2073,760,1040,1,844,0,431,1859,504
CERS3,2,2091,0,0,1397,73,0,0,1547,0,0,5855,1505,984,8599,9902,0,127,5835,1915,5073,2,3121,6696,1170,809,3581,10171,0,784
CERS4,0,52,13,0,1,203,0,0,144,0,180,51,0,193,505,27,11,10,67,152,0,0,513,33,279,51,321,1,0,52
CERS5,417,78,0,0,0,0,12,0,270,9,0,102,1040,1492,27,623,0,358,241,248,0,1016,477,0,16,1146,0,472,0,949
CERS6,1941,262,743,0,1610,815,0,0,1340,1,0,1513,1099,0,2,914,287,141,1000,1985,2451,7727,1075,513,1549,1416,0,1124,0,2618
CES1,0,6,0,0,0,0,0,0,31,0,0,33,0,0,0,0,338,5,14,23,0,0,0,0,0,0,0,0,0,80
CES1P2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CES2,151,0,203,0,574,0,0,0,86,0,0,457,41,70,0,38,535,52,319,136,0,755,226,0,0,717,165,81,747,0
CES3,0,0,1,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CES4A,0,1118,607,0,267,0,0,0,125,0,0,124,0,0,0,933,0,30,6066,1020,0,0,236,433,0,0,0,0,0,0
CES5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CES5AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CETN1,0,0,114,31,0,461,0,0,0,0,0,2,0,0,0,268,0,0,0,33,0,0,0,240,0,0,0,53,0,0
CETN2,711,235,402,0,714,0,0,0,47,0,0,236,0,0,0,793,0,119,381,892,743,0,839,975,1460,413,0,208,0,313
CETN3,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,167,0
CETN4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CETP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFB,0,395,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,59,50,135,0,0,0,0,0,0,0,0,0,0
CFD,652,5931,1305,0,609,0,0,0,356,0,3579,606,377,0,0,0,0,5026,277,563,185,0,378,677,0,0,0,1483,0,986
CFDP1,0,76,185,0,0,0,0,0,104,0,0,58,0,0,0,91,0,58,65,275,3,0,161,219,485,0,504,26,0,43
CFH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFHR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFHR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFHR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFI,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFL1,27493,34357,32841,462,44925,8446,0,0,33868,24807,32069,50180,27580,5170,8325,26450,12072,45762,39062,65144,38179,65637,35290,15333,30645,34889,5980,23752,36050,61875
CFL1P1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFL2,29,5,8,5,0,0,0,0,3,215,0,4,0,0,0,0,0,11,16,36,0,180,0,0,3,150,23,0,0,20
CFLAR,622,1919,1077,0,783,834,0,0,1129,1738,1569,1074,697,125,858,1195,1194,3015,1103,1276,1669,957,1547,786,522,1996,3185,836,1543,2158
CFP,962,1802,662,0,1212,0,0,0,316,0,1380,1326,0,0,0,521,373,2607,1031,1486,716,409,690,121,0,388,0,2708,1512,2378
CFTR,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGGBP1,0,974,1654,0,234,1607,0,0,968,0,0,1177,331,0,1317,645,288,598,464,837,2240,1479,397,2692,1,18,1215,530,0,409
CGN,0,50,49,0,0,0,0,0,76,0,0,36,52,1,0,0,0,2,204,193,188,208,190,334,0,0,0,31,0,0
CGNL1,0,46,856,0,306,0,0,0,412,682,0,1,462,0,0,351,0,13,238,571,79,0,521,156,0,0,0,678,0,21
CGREF1,0,0,0,1,0,1,497,0,0,0,0,0,0,0,0,0,0,0,10,0,0,53,0,0,0,0,0,0,0,10
CGRRF1,0,0,0,0,3,0,0,0,42,0,1,0,0,0,0,0,2,5,3,6,0,20,0,1,0,0,0,6,0,5
CH25H,0,4,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,27,448,0
CHAC1,930,986,443,381,983,2976,4,6559,2064,1743,739,287,672,428,9917,1367,1913,53,815,3533,403,0,2125,619,440,531,2485,448,0,750
CHAC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAD,0,8,13,0,0,0,0,0,122,0,0,0,0,0,307,281,334,12,24,241,977,0,103,373,0,0,0,27,0,187
CHADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAF1A,0,54,0,20,0,0,0,0,56,0,0,13,0,0,0,53,15,51,20,102,68,40,13,0,0,153,0,0,0,0
CHAF1B,0,210,235,0,0,0,0,0,0,1,0,102,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
CHAMP1,0,0,0,0,0,0,0,0,42,0,0,33,0,0,0,0,0,29,118,350,0,138,0,118,553,0,0,154,0,154
CHAT,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHCHD1,4,0,4,0,6,2,0,0,7,0,0,3,3,0,0,1,2,0,3,2,3,1,1,6,0,3,0,3,0,2
CHCHD10,34,114,0,0,62,123,0,0,683,26,0,72,121,0,891,414,259,121,167,334,229,400,382,663,531,364,938,37,443,115
CHCHD2,6940,5439,4056,1,10725,6296,2064,1599,6815,863,3100,5333,2525,683,10381,4119,1442,1815,4625,6203,5455,3242,5510,3537,2850,2767,9336,3968,5840,3458
CHCHD3,1321,258,229,0,1393,6,5908,0,418,3561,0,300,332,0,13,945,0,478,459,412,365,662,395,559,822,0,0,743,0,298
CHCHD4,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,204,0,0,0,0,0,0,0,0,787,0,0
CHCHD5,791,913,1257,0,822,4085,0,0,1314,0,214,442,0,0,309,0,0,213,334,665,293,262,569,968,819,0,0,674,0,292
CHCHD6,0,0,0,0,0,0,0,0,74,0,0,0,147,0,0,0,0,6,0,0,147,0,0,0,0,0,0,0,0,0
CHCHD7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COA4,18,6,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,4,4,19,0,0,12,0,0,0,141,13,0,1
CHD1,1905,1221,2222,477,3861,0,0,0,700,2716,1404,2366,2834,0,4056,1,2156,5054,1266,2679,839,1977,1844,2282,373,1943,0,1669,2413,8145
CHD1L,0,3,4,0,0,0,0,0,157,0,458,9,0,0,0,0,0,19,81,0,0,193,0,71,0,0,0,0,0,10
CHD2,3930,3138,5312,0,3901,0,0,0,1863,0,0,2961,0,0,839,1508,5827,9460,4314,2497,3079,844,3094,3812,6278,13507,1,4397,3147,5477
CHD3,372,553,125,512,983,0,0,0,264,1005,0,897,0,0,0,159,352,386,712,457,173,1584,790,0,11,507,266,238,2616,415
CHD4,655,1803,3405,1606,427,717,0,263,2470,1455,0,1877,944,0,1090,1803,470,3043,1401,1429,1312,2120,1889,4529,600,1162,1533,524,1053,2249
CHD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHD6,49,5,0,0,52,0,0,0,25,0,0,14,0,0,0,0,0,7,30,56,0,197,65,35,0,63,0,0,0,0
CHD7,0,52,61,0,0,0,0,0,9,0,0,35,118,0,0,0,0,144,105,113,28,38,146,0,84,541,0,229,32,115
CHD8,0,323,0,0,361,0,0,0,109,0,0,324,0,0,1118,0,236,152,484,107,0,576,0,0,1483,76,0,76,0,307
CHD9,70,15,29,0,126,466,0,0,64,0,0,130,355,0,0,135,348,270,201,98,170,260,145,114,0,114,0,110,542,78
CHDH,233,0,0,0,0,0,0,1,0,0,0,47,0,0,0,0,0,1,0,0,0,204,19,0,0,0,0,0,0,0
CHEK1,0,0,0,0,0,0,0,116,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,126,4,0,0
CHEK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEK2P2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHERP,67,5,19,0,0,0,0,0,18,0,0,12,0,0,0,86,23,76,27,14,16,323,84,0,0,137,0,0,0,87
CHFR,359,1548,427,0,677,0,0,0,2008,0,2339,2450,1714,89,0,1299,4158,2737,2777,3139,1015,1473,2309,1407,440,3496,0,1361,1665,4440
CHGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI3L1,1248,6695,1538,0,6154,1362,10,7434,5471,5769,0,3029,1474,0,9791,11314,1283,3456,4763,3502,19424,1,4015,1876,5584,13931,0,9545,0,4383
CHI3L2,198,220,71,6,258,0,0,0,655,0,952,4711,0,542,0,735,0,106,241,312,140,0,542,659,249,0,0,426,0,413
CHIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CHIC2,714,612,1053,533,3064,886,0,0,2035,1523,0,1091,2084,0,7852,2084,484,744,1108,2137,2858,1,2281,1314,3116,928,0,1944,0,982
CHID1,0,63,0,0,0,0,0,0,324,0,0,205,0,0,0,360,0,32,709,310,465,139,57,0,0,0,0,61,0,0
CHIT1,0,176,130,889,0,0,0,3,0,0,0,99,0,0,0,0,0,130,49,0,296,0,0,0,0,219,0,0,0,781
CHKA,0,22,0,0,38,0,0,0,20,0,0,15,0,0,0,0,74,37,9,20,72,106,66,63,0,0,0,24,0,0
CHKB,23,15,0,0,21,0,0,0,65,4,477,23,0,0,0,262,239,99,80,44,30,33,160,47,0,66,0,5,4,173
CHL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHM,553,162,70,0,0,0,0,0,370,0,0,147,0,0,1,0,0,117,312,56,3,0,250,906,776,0,0,760,0,120
CHML,70,5,6,0,7,0,0,0,23,0,0,11,15,14,0,42,9,3,6,2,0,91,50,102,0,0,0,13,30,6
CHMP1A,13,88,25,0,93,130,0,0,126,27,0,74,0,0,65,27,92,86,49,329,117,135,88,53,132,138,0,42,7,28
CHMP1B,2638,1673,3223,0,6551,0,0,0,4719,7529,0,3499,1683,1146,6052,5338,1810,3828,4237,5739,6284,4902,7081,7571,5751,3306,8200,5066,1964,4203
CHMP2A,260,388,149,392,231,0,0,0,513,0,0,213,223,0,306,966,438,1667,913,1115,1575,857,1618,1864,2070,1327,352,1175,2478,2010
CHMP2B,109,216,94,0,184,2,0,0,631,1311,2848,287,417,631,203,659,566,827,878,928,703,661,1640,2674,1142,1104,0,398,203,311
CHMP4B,2725,1007,1321,0,1267,1148,0,105,2310,571,1,1762,213,399,2024,2650,1512,3488,1863,2734,1907,2089,2470,3285,2202,4761,5280,3233,3748,3768
CHMP4C,7,80,16,160,122,51,78,0,399,0,0,31,0,0,434,119,0,10,207,198,47,142,432,1501,382,0,155,149,0,237
CHMP5,933,2076,1660,0,1002,0,0,0,3200,0,0,2390,2515,0,968,687,731,1573,2145,1062,1513,798,1113,1197,899,818,0,2855,1,896
CHMP6,0,60,42,0,0,0,0,0,100,0,0,61,0,0,0,0,0,115,115,165,163,0,45,0,0,0,0,0,0,93
CHMP7,2,429,263,0,0,0,0,0,121,0,0,347,364,0,0,635,0,230,367,302,192,981,1097,746,391,210,0,563,0,744
CHN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN2,0,0,0,0,0,0,0,0,59,0,0,57,0,0,0,0,0,2,14,78,1,0,300,0,0,0,0,0,0,165
CHODL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHORDC1,0,30,32,420,25,0,0,0,0,0,1343,98,0,0,0,150,0,126,80,181,0,491,0,567,1,881,0,0,401,125
CHP1,2051,4124,6953,0,4676,1908,5,2106,6278,2414,0,1906,4040,336,6706,8291,2513,2795,4672,8945,4015,2894,15947,18252,7914,2933,16947,13446,1817,12940
CHP2,0,0,16,0,0,0,10,0,0,1,0,0,0,0,0,26,0,0,18,13,0,0,0,32,0,0,0,0,0,0
CHPF,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,0,0,3,20,0,715,135,85,0,645,0,0,0,0,0
CHPF2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,13,7,5,0,0,0,0,0,0,7
CHPT1,0,1114,3,589,0,0,0,0,329,19,0,565,0,846,0,2,1838,647,265,428,156,121,1116,479,0,309,0,626,0,75
CHRAC1,144,307,106,0,420,0,0,0,1,560,829,229,0,0,0,1,0,280,290,577,1,727,399,516,0,866,0,322,0,436
CHRD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRDL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRDL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRFAM7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
