Gene,PD_001,PD_002,PD_003,PD_004,PD_005,PD_006,PD_007,PD_008,PD_009,PD_010,PD_011,PD_012,PD_013,PD_014,PD_015,PD_016,PD_017,PD_018,PD_019,PD_020,PD_021,PD_022,PD_023,PD_024,PD_025,PD_026,PD_027,PD_028,PD_029,PD_030
ADRA2A,0,2,0,40,0,0,0,0,0,0,0,0,0,0,38,21,10,0,0,0,10,0,0,0,0,0,0,0,0,0
ADRA2B,0,9,25,0,0,0,0,0,0,0,0,4,127,0,0,0,74,27,0,16,0,0,72,130,0,0,0,0,0,0
ADRA2C,0,4,0,0,0,0,0,0,0,0,0,6,0,0,960,112,0,2,0,104,0,261,0,0,0,0,0,0,0,0
ADRB1,0,0,8,0,20,0,0,0,0,0,291,3,0,0,134,0,0,7,6,0,73,74,46,0,0,0,359,0,0,0
ADRB2,0,124,117,0,267,0,8,2036,88,0,0,140,4,434,374,92,0,137,402,74,0,0,94,410,0,0,0,0,0,289
ADRBK1,1029,2654,2482,1093,2007,0,0,0,1074,851,1518,2156,1448,0,673,1629,655,2603,1771,861,794,1199,566,290,1104,2555,0,2368,394,3337
ADRBK2,30,25,15,0,13,0,0,0,85,0,0,36,29,0,0,47,210,43,116,164,4,269,77,109,314,190,0,6,112,110
ADRM1,2242,1843,842,0,2480,2993,0,0,5119,763,0,3829,4719,616,12441,1113,3589,1659,4402,3755,2162,2031,3888,1941,3829,0,1290,1809,1287,1845
ADSL,0,22,90,0,0,42,0,0,23,9,56,97,0,0,0,9,564,70,71,83,45,368,86,271,0,0,335,30,453,91
ADSS,0,11,7,0,0,0,0,1,4,0,131,4,37,0,0,37,89,58,32,44,33,25,65,77,65,73,0,0,93,33
ADSSL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEBP1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,18,24,0,0,0,0,0
AEBP2,0,349,0,0,0,0,0,0,720,733,0,524,575,0,616,0,951,310,1216,786,736,294,114,609,143,300,0,340,0,241
AEN,28,0,0,0,2,0,0,0,18,0,0,4,0,0,0,0,12,3,4,0,0,18,25,49,0,0,0,1,0,0
AES,1138,447,798,0,559,10,0,0,1679,504,2243,628,1238,0,884,2685,718,568,994,1457,1788,2858,2494,3272,4476,659,2603,675,0,971
AFAP1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
AFAP1L1,337,0,195,0,122,0,0,0,54,0,0,18,0,0,320,0,0,0,82,111,0,0,0,0,0,0,0,22,0,0
AFAP1L2,0,14,0,0,0,0,0,0,0,0,0,251,0,0,0,0,67,0,59,0,0,0,0,0,0,0,0,0,0,0
AFF1,1567,733,1440,328,1010,0,0,0,850,0,0,1132,2075,0,606,954,780,1110,1231,924,661,3294,1147,2440,2831,614,0,767,2827,5902
AFF2,0,135,0,0,189,0,0,0,0,0,0,52,70,0,0,464,0,469,242,166,0,42,0,0,0,0,0,536,0,857
AFF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,0,0,51,0,0,0,0,0,0,0
AFF4,1339,949,578,253,191,0,0,0,2200,0,0,1799,1570,0,1381,1996,246,1644,2370,1919,1920,6211,1762,3620,0,1111,5301,1882,3134,742
AFG3L2,65,28,19,0,3,0,1,0,37,0,4,21,53,0,0,0,69,14,6,15,29,125,0,100,0,175,0,0,0,49
AFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFMID,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,2
AFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFTPH,997,1153,808,0,1143,1359,0,0,1274,0,0,979,541,0,1,718,323,1890,1351,609,785,1853,1016,476,1,920,1577,1000,2001,2161
AGA,0,3,0,0,1,10,0,0,16,0,0,8,0,0,0,207,0,12,31,45,15,0,55,0,0,0,0,0,0,0
AGAP1,0,0,0,0,0,0,0,0,91,328,0,24,0,0,0,0,0,0,1667,164,0,0,366,0,1174,0,0,0,0,0
AGAP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP2,77,61,29,0,45,0,0,0,90,0,0,49,0,0,0,0,34,133,41,44,26,127,115,99,50,0,0,51,0,69
AGAP3,315,311,959,0,0,0,31,0,1218,0,0,1315,2,662,1182,748,880,2147,1960,2313,1485,5183,955,0,0,2318,0,1218,8077,917
AGAP5,7,44,155,7,43,12,0,68,0,0,0,78,10,0,22,7,0,59,23,103,6,196,14,175,0,0,3,15,18,2
AGAP6,30,58,2,0,55,0,0,0,38,0,0,46,0,0,0,7,2,53,28,35,22,125,11,28,2,0,1,22,0,30
AGAP7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,22,0,83,0,0,0,0
AGBL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBL4,0,17,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
AGBL5,0,36,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,16,0,58,92,0,0,0,0,0,0,0,0,53
AGER,245,335,449,0,481,0,0,0,0,0,0,150,4,921,0,0,0,218,27,222,0,0,0,0,0,297,0,160,0,408
AGFG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,52,0,0,0,0,0,0,0,0,0,0,66
AGFG2,0,0,0,0,0,0,0,0,44,0,0,49,497,0,0,0,0,32,906,571,0,0,0,0,0,0,0,1271,0,90
AGGF1,70,490,1965,0,0,0,0,0,314,0,0,450,0,0,0,430,1,928,749,2505,0,32,425,3212,1,0,777,5986,747,1885
AGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGL,161,77,0,0,159,0,0,0,0,0,0,68,0,0,0,0,0,92,420,6,0,0,446,13,0,0,149,0,0,211
AGMAT,15,116,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
AGMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPAT1,633,654,665,0,1083,0,0,0,1579,2,2906,673,1372,750,1471,321,483,344,732,991,0,761,846,951,276,0,0,1127,0,671
AGPAT2,0,27,0,0,32,0,0,0,0,0,0,63,86,0,0,0,0,38,101,0,33,102,0,0,0,122,0,63,0,0
AGPAT3,0,36,141,0,67,0,0,0,153,0,0,92,0,0,0,211,0,24,71,322,146,527,198,0,0,331,0,31,0,184
AGPAT4,4,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,18
AGPAT5,0,0,0,0,0,399,0,0,339,0,0,75,0,0,0,0,0,71,479,0,0,0,0,458,175,0,0,0,0,0
AGPAT6,383,972,486,0,1584,0,0,0,879,0,2182,1592,852,0,0,815,2350,3254,806,1817,1229,1859,95,290,299,4399,0,845,4331,2591
AGPAT9,1182,670,198,0,1070,149,0,0,2267,2219,0,1440,1727,924,0,2621,1233,402,957,2871,2291,8852,2879,1881,1135,818,0,254,0,101
AGPHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,71,0,0,0,0,0,0
AGPS,28,3,0,0,16,0,0,0,15,0,0,9,31,0,0,50,20,53,19,27,23,94,66,60,0,102,0,2,0,10
AGR2,0,39,0,0,874,1791,0,0,1395,2233,1981,172,363,33,1862,1613,332,89,748,373,2302,175,713,2517,945,726,0,429,0,31
AGR3,0,0,0,0,0,0,0,0,0,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10329,0,0,0,0
AGRN,0,110,0,0,803,0,0,0,111,0,0,336,0,0,0,87,0,43,165,215,0,1319,132,146,151,278,0,324,0,140
AGRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,49,0,0,2
AGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTPBP1,154,1119,1948,0,219,0,0,0,5002,856,0,1498,1974,0,0,107,115,7382,4753,522,2337,187,565,222,0,0,0,2186,0,3679
